,transform
193,0.03700000047683716
194,0.029999999329447746
195,0.05299999937415123
196,0.05000000074505806
197,0.061000000685453415
198,0.10599999874830246
199,0.041999999433755875
200,0.03400000184774399
201,0.017999999225139618
202,0.06599999964237213
203,0.07500000298023224
204,0.04899999871850014
205,0.07400000095367432
206,0.0729999989271164
207,0.035999998450279236
208,0.07400000095367432
209,0.057999998331069946
210,0.07500000298023224
211,0.07599999755620956
212,0.0
213,0.21299999952316284
214,0.0689999982714653
215,0.0729999989271164
216,0.08299999684095383
217,0.0820000022649765
218,0.06499999761581421
219,0.03200000151991844
220,0.07800000160932541
221,0.05000000074505806
222,0.014999999664723873
223,0.07900000363588333
224,0.09300000220537186
225,0.04500000178813934
226,0.03999999910593033
227,0.04575124382972717
228,0.02500000037252903
229,0.0
230,0.10000000149011612
231,0.0
232,0.09300000220537186
233,0.0
234,0.09600000083446503
235,0.028999999165534973
236,0.10252891480922699
237,0.029999999329447746
238,0.03400000184774399
239,0.0
240,0.05000000074505806
241,0.04399999976158142
242,0.0729999989271164
243,0.041672468185424805
244,0.03400000184774399
245,0.03799999877810478
246,0.03400000184774399
247,0.04899999871850014
248,0.03400000184774399
249,0.03700000047683716
250,0.035999998450279236
251,0.0430000014603138
252,0.06199999898672104
253,0.08100000023841858
254,0.026000000536441803
255,0.0
256,0.032999999821186066
257,0.029999999329447746
258,0.03999999910593033
259,0.032999999821186066
260,0.06599999964237213
261,0.03999999910593033
262,0.03500000014901161
263,0.04399999976158142
264,0.017999999225139618
265,0.03200000151991844
266,0.04100000113248825
267,0.027000000700354576
268,0.1940000057220459
269,0.11299999803304672
270,0.09000000357627869
271,0.0
272,0.10300000011920929
273,0.0820000022649765
274,0.03999999910593033
275,0.054999999701976776
276,0.009999999776482582
277,0.03200000151991844
278,0.04100000113248825
279,0.037418656051158905
280,0.0560000017285347
281,0.039000000804662704
282,0.014999999664723873
283,0.06800000369548798
284,0.041999999433755875
285,0.04800000041723251
286,0.06400000303983688
287,0.017000000923871994
288,0.054999999701976776
289,0.039000000804662704
290,0.05000000074505806
291,0.03400000184774399
292,0.057999998331069946
293,0.03799999877810478
294,0.08799999952316284
295,0.06499999761581421
296,0.04899999871850014
297,0.07199999690055847
298,0.032999999821186066
299,0.07199999690055847
300,0.02896314673125744
301,0.05400000140070915
302,0.03799999877810478
303,0.07400000095367432
304,0.02199999988079071
305,0.0689999982714653
306,0.08299999684095383
307,0.05400000140070915
308,0.006000000052154064
309,0.003000000026077032
310,0.04100000113248825
311,0.04399999976158142
312,0.05999999865889549
313,0.03700000047683716
314,0.04899999871850014
315,0.03799999877810478
316,0.08699999749660492
317,0.021181782707571983
318,0.054999999701976776
319,0.05400000140070915
320,0.05999999865889549
321,0.0
322,0.04399999976158142
323,0.04899999871850014
324,0.04133433848619461
325,0.06300000101327896
326,0.01899999938905239
327,0.09700000286102295
328,0.04100000113248825
329,0.11699999868869781
330,0.010999999940395355
331,0.04333428665995598
332,0.05400000140070915
333,0.052000001072883606
334,0.04399999976158142
335,0.05400000140070915
336,0.061000000685453415
337,0.04600000008940697
338,0.052000001072883606
339,0.05000000074505806
340,0.06300000101327896
341,0.08399999886751175
342,0.035999998450279236
343,0.18700000643730164
344,0.04699999839067459
345,0.050999999046325684
346,0.03200000151991844
347,0.07199999690055847
348,0.04699999839067459
349,0.06599999964237213
350,0.0729999989271164
351,0.039000000804662704
352,0.08299999684095383
353,0.029999999329447746
354,0.07000000029802322
355,0.0729999989271164
356,0.0689999982714653
357,0.05400000140070915
358,0.032999999821186066
359,0.04500000178813934
360,0.05900000035762787
361,0.017000000923871994
362,0.04899999871850014
363,0.04500000178813934
364,0.017000000923871994
365,0.052000001072883606
366,0.04100000113248825
367,0.1850000023841858
368,0.06199999898672104
369,0.013000000268220901
370,0.10300000011920929
371,0.06700000166893005
372,0.04500000178813934
373,0.10100000351667404
374,0.08299999684095383
375,0.05400000140070915
376,0.07199999690055847
377,0.11500000208616257
378,0.10499999672174454
379,0.007000000216066837
380,0.12099999934434891
381,0.11400000005960464
382,0.028999999165534973
383,0.02500000037252903
384,0.029999999329447746
385,0.03500000014901161
386,0.006000000052154064
387,0.07000000029802322
388,0.05700000002980232
389,0.027000000700354576
390,0.10599999874830246
391,0.02199999988079071
392,0.07100000232458115
393,0.04899999871850014
394,0.00800000037997961
395,0.052953917533159256
396,0.014000000432133675
397,0.03782448172569275
398,0.054999999701976776
399,0.07400000095367432
400,0.0560000017285347
401,0.039000000804662704
402,0.07999999821186066
403,0.00800000037997961
404,0.07400000095367432
405,0.09700000286102295
406,0.07599999755620956
407,0.012000000104308128
408,0.041999999433755875
409,0.008999999612569809
410,0.00800000037997961
411,0.004000000189989805
412,0.07900000363588333
413,0.07000000029802322
414,0.0
415,0.024000000208616257
416,0.0860000029206276
417,0.04699999839067459
418,0.10499999672174454
419,0.07999999821186066
420,0.07800000160932541
421,0.04899999871850014
422,0.041999999433755875
423,0.06800000369548798
424,0.054999999701976776
425,0.050999999046325684
426,0.06199999898672104
427,0.06499999761581421
428,0.0689999982714653
429,0.04899999871850014
430,0.0560000017285347
431,0.07599999755620956
432,0.03500000014901161
433,0.039000000804662704
434,0.04399999976158142
435,0.06400000303983688
436,0.050999999046325684
437,0.04800000041723251
438,0.08399999886751175
439,0.07199999690055847
440,0.041999999433755875
441,0.032999999821186066
442,0.03500000014901161
443,0.054999999701976776
444,0.07999999821186066
445,0.0
446,0.08399999886751175
447,0.04899999871850014
448,0.03799999877810478
449,0.007000000216066837
450,0.0430000014603138
451,0.05000000074505806
452,0.06499999761581421
