,mapOptization
358,0.362335205078125
359,0.362335205078125
360,0.38253068923950195
361,0.38253068923950195
362,0.10073709487915039
363,0.10073709487915039
364,0.12085223197937012
365,0.12085223197937012
366,0.141007661819458
367,0.141007661819458
368,0.16115236282348633
369,0.16115236282348633
370,0.1813042163848877
371,0.1813042163848877
372,0.2014305591583252
373,0.2014305591583252
374,0.22155475616455078
375,0.22155475616455078
376,0.2416837215423584
377,0.2416837215423584
378,0.2617330551147461
379,0.2617330551147461
380,0.28192806243896484
381,0.28192806243896484
382,0.30205297470092773
383,0.30205297470092773
384,0.32218146324157715
385,0.32218146324157715
386,0.34230685234069824
387,0.34230685234069824
388,0.36243462562561035
389,0.36243462562561035
390,0.06038641929626465
391,0.06038641929626465
392,0.08054780960083008
393,0.08054780960083008
394,0.10074424743652344
395,0.10074424743652344
396,0.12099099159240723
397,0.12099099159240723
398,0.1411113739013672
399,0.1411113739013672
400,0.1612401008605957
401,0.1612401008605957
402,0.18142032623291016
403,0.18142032623291016
404,0.20154809951782227
405,0.20154809951782227
406,0.2221202850341797
407,0.2221202850341797
408,0.2422800064086914
409,0.2422800064086914
410,0.26240038871765137
411,0.26240038871765137
412,0.28257250785827637
413,0.28257250785827637
414,0.3027036190032959
415,0.3027036190032959
416,0.3236825466156006
417,0.3236825466156006
418,0.34380531311035156
419,0.34380531311035156
420,0.3639347553253174
421,0.3639347553253174
422,0.3840789794921875
423,0.3840789794921875
424,0.40421462059020996
425,0.40421462059020996
426,0.06039547920227051
427,0.06039547920227051
428,0.08051514625549316
429,0.08051514625549316
430,0.10064291954040527
431,0.10064291954040527
432,0.1208028793334961
433,0.1208028793334961
434,0.14092445373535156
435,0.14092445373535156
436,0.16106605529785156
437,0.16106605529785156
438,0.18119311332702637
439,0.18119311332702637
440,0.20131635665893555
441,0.20131635665893555
442,0.22143959999084473
443,0.22143959999084473
444,0.24153685569763184
445,0.24153685569763184
446,0.2616889476776123
447,0.2616889476776123
448,0.28182220458984375
449,0.28182220458984375
450,0.3019561767578125
451,0.3019561767578125
452,0.3220820426940918
453,0.3220820426940918
454,0.3422055244445801
455,0.3422055244445801
456,0.3623826503753662
457,0.3623826503753662
458,0.38254380226135254
459,0.38254380226135254
460,0.060393333435058594
461,0.060393333435058594
462,0.08054590225219727
463,0.08054590225219727
464,0.10067510604858398
465,0.10067510604858398
466,0.12081670761108398
467,0.12081670761108398
468,0.14094781875610352
469,0.14094781875610352
470,0.16114473342895508
471,0.16114473342895508
472,0.18135356903076172
473,0.18135356903076172
474,0.20150327682495117
475,0.20150327682495117
476,0.22165560722351074
477,0.22165560722351074
478,0.24179816246032715
479,0.24179816246032715
480,0.2619473934173584
481,0.2619473934173584
482,0.28208160400390625
483,0.28208160400390625
484,0.30223917961120605
485,0.30223917961120605
486,0.322385311126709
487,0.322385311126709
488,0.3425297737121582
489,0.3425297737121582
490,0.3627009391784668
491,0.3627009391784668
492,0.3828921318054199
493,0.3828921318054199
