,imageProjection
147,0.020128726959228516
148,0.020160198211669922
149,0.04028034210205078
150,0.04027986526489258
151,0.04030156135559082
152,0.020158767700195312
153,0.040314674377441406
154,0.04023170471191406
155,0.020122528076171875
156,0.040195465087890625
157,0.04023861885070801
158,0.0402529239654541
159,0.04024147987365723
160,0.020128488540649414
161,0.020155906677246094
162,0.04025435447692871
163,0.04024553298950195
164,0.04028010368347168
165,0.04026937484741211
166,0.02012038230895996
167,0.02012777328491211
168,0.020127058029174805
169,0.04024553298950195
170,0.040244340896606445
171,0.020124435424804688
172,0.020120859146118164
173,0.04026341438293457
174,0.040271759033203125
175,0.02013707160949707
176,0.04025578498840332
177,0.020117521286010742
178,0.02011847496032715
179,0.020119190216064453
180,0.020117998123168945
181,0.04023122787475586
182,0.02012348175048828
183,0.04024338722229004
184,0.020120620727539062
185,0.0402374267578125
186,0.0402827262878418
187,0.04024910926818848
188,0.02013564109802246
189,0.020177602767944336
190,0.020117759704589844
191,0.020166873931884766
192,0.04023385047912598
193,0.020119667053222656
194,0.020122051239013672
195,0.0201413631439209
196,0.02012801170349121
197,0.020127296447753906
198,0.020122528076171875
199,0.04025745391845703
200,0.020119190216064453
201,0.020137548446655273
202,0.020122289657592773
203,0.040311336517333984
204,0.02012944221496582
205,0.02012181282043457
206,0.02012157440185547
207,0.02014017105102539
208,0.02013087272644043
209,0.020123958587646484
210,0.04030942916870117
211,0.020126819610595703
212,0.02012014389038086
213,0.0201261043548584
214,0.02012348175048828
215,0.020136117935180664
216,0.02012014389038086
217,0.020118236541748047
218,0.020127296447753906
219,0.0402679443359375
220,0.040297508239746094
221,0.02012324333190918
222,0.02008843421936035
223,0.02012467384338379
224,0.020132064819335938
225,0.020121097564697266
226,0.02012181282043457
227,0.020125389099121094
228,0.02011585235595703
229,0.020128488540649414
230,0.02011585235595703
231,0.020163774490356445
232,0.02011895179748535
233,0.04024815559387207
234,0.04032254219055176
235,0.02012038230895996
236,0.04026937484741211
237,0.020107269287109375
238,0.04027843475341797
239,0.020119667053222656
240,0.020126819610595703
241,0.0201566219329834
242,0.020119905471801758
243,0.020122051239013672
244,0.020120620727539062
245,0.020129680633544922
246,0.04024791717529297
247,0.020122289657592773
248,0.020125865936279297
249,0.020125389099121094
250,0.020127296447753906
251,0.02014446258544922
252,0.02017354965209961
253,0.020159006118774414
254,0.020121097564697266
255,0.020134449005126953
256,0.020145177841186523
257,0.02011847496032715
258,0.020119667053222656
259,0.020157575607299805
260,0.0402684211730957
261,0.04024219512939453
262,0.02010178565979004
263,0.04028892517089844
264,0.040251731872558594
265,0.02026224136352539
266,0.04025387763977051
267,0.04024863243103027
268,0.040242671966552734
269,0.020090818405151367
270,0.02012014389038086
271,0.02013397216796875
272,0.040257930755615234
273,0.040292978286743164
274,0.04024457931518555
275,0.040238380432128906
276,0.020153045654296875
277,0.020213842391967773
278,0.04026198387145996
279,0.02012324333190918
280,0.04029345512390137
281,0.04024243354797363
282,0.02012038230895996
283,0.020142078399658203
284,0.040245771408081055
285,0.04029393196105957
286,0.040242671966552734
287,0.020130634307861328
288,0.04028630256652832
289,0.040236711502075195
290,0.0402379035949707
291,0.04032731056213379
292,0.04023456573486328
293,0.04026436805725098
294,0.04024648666381836
295,0.04024147987365723
296,0.02011728286743164
297,0.040366411209106445
298,0.0402379035949707
299,0.04023909568786621
300,0.04024171829223633
301,0.04026961326599121
302,0.040242671966552734
303,0.040259599685668945
304,0.04027271270751953
305,0.04028677940368652
306,0.0402674674987793
307,0.040250539779663086
308,0.02013564109802246
309,0.04024052619934082
310,0.020116806030273438
311,0.040380239486694336
312,0.020131826400756836
313,0.020116329193115234
314,0.020120620727539062
315,0.020121335983276367
316,0.02015399932861328
317,0.0201568603515625
318,0.020120620727539062
319,0.020117521286010742
320,0.020132064819335938
321,0.02011704444885254
322,0.040287017822265625
323,0.0201416015625
324,0.020159244537353516
325,0.020120859146118164
326,0.04028654098510742
327,0.0201418399810791
328,0.04023575782775879
329,0.02012181282043457
330,0.02019786834716797
331,0.02016162872314453
332,0.020123720169067383
333,0.04026985168457031
334,0.040244340896606445
335,0.04025602340698242
336,0.02013874053955078
337,0.020132064819335938
338,0.020129680633544922
339,0.020121335983276367
340,0.020122289657592773
341,0.020125865936279297
342,0.020125627517700195
343,0.020129919052124023
344,0.020162105560302734
345,0.02013397216796875
346,0.020160436630249023
347,0.02011895179748535
348,0.020125150680541992
349,0.020125389099121094
350,0.040210723876953125
351,0.04024624824523926
352,0.04029130935668945
353,0.020128965377807617
354,0.020121097564697266
355,0.020123004913330078
356,0.020124197006225586
357,0.020136117935180664
358,0.040244340896606445
359,0.02012467384338379
360,0.04024243354797363
361,0.02012038230895996
362,0.040282249450683594
363,0.020123720169067383
364,0.020127058029174805
365,0.020159244537353516
366,0.04020047187805176
367,0.020122766494750977
368,0.040270090103149414
369,0.04024076461791992
370,0.020117521286010742
371,0.04027247428894043
372,0.020166873931884766
373,0.040254831314086914
374,0.040242671966552734
375,0.020120859146118164
376,0.040543556213378906
377,0.02014446258544922
378,0.020119905471801758
379,0.020190954208374023
380,0.02012491226196289
381,0.040290117263793945
382,0.040258169174194336
383,0.020124435424804688
384,0.0402371883392334
385,0.020115375518798828
386,0.040238142013549805
387,0.04024314880371094
388,0.020132064819335938
389,0.020133018493652344
390,0.04027676582336426
391,0.020122766494750977
392,0.040245771408081055
393,0.04030036926269531
394,0.020126819610595703
395,0.020123958587646484
396,0.020119190216064453
397,0.02012181282043457
398,0.020127058029174805
399,0.0402982234954834
400,0.04025983810424805
401,0.020132780075073242
402,0.02010178565979004
403,0.020128965377807617
404,0.020148515701293945
405,0.020124435424804688
406,0.040245771408081055
407,0.020119428634643555
408,0.020119190216064453
409,0.040252685546875
410,0.0402681827545166
411,0.0402531623840332
412,0.04024147987365723
413,0.040239810943603516
414,0.04024505615234375
415,0.020122528076171875
416,0.020162582397460938
417,0.020121335983276367
418,0.020123958587646484
419,0.020124197006225586
420,0.04029703140258789
421,0.020125150680541992
422,0.040282487869262695
423,0.04025840759277344
424,0.040318965911865234
425,0.02012181282043457
426,0.020122051239013672
427,0.020123958587646484
428,0.020137548446655273
429,0.020139694213867188
430,0.020132064819335938
431,0.020116567611694336
432,0.04028606414794922
433,0.04028010368347168
434,0.020165681838989258
435,0.020143985748291016
436,0.02013993263244629
437,0.020162343978881836
438,0.0402827262878418
439,0.040285348892211914
440,0.020135164260864258
441,0.0201570987701416
442,0.020162105560302734
443,0.020125150680541992
444,0.020163297653198242
445,0.020121335983276367
446,0.04024767875671387
447,0.02018260955810547
448,0.020127058029174805
449,0.04027152061462402
450,0.040282249450683594
451,0.04028964042663574
452,0.02011728286743164
453,0.020139694213867188
454,0.02012491226196289
455,0.020144224166870117
456,0.04026460647583008
457,0.020123958587646484
458,0.04026198387145996
459,0.04024314880371094
460,0.020121097564697266
461,0.020125627517700195
462,0.020166873931884766
