,Feature
263,0.012000000104308128
264,0.013000000268220901
265,0.032999999821186066
266,0.014000000432133675
267,0.017999999225139618
268,0.01600000075995922
269,0.01118144765496254
270,0.009999999776482582
271,0.013000000268220901
272,0.01600000075995922
273,0.010999999940395355
274,0.014000000432133675
275,0.010999999940395355
276,0.014000000432133675
277,0.0020000000949949026
278,0.04100000113248825
279,0.017000000923871994
280,0.01600000075995922
281,0.010999999940395355
282,0.0
283,0.017999999225139618
284,0.015237036161124706
285,0.014000000432133675
286,0.013000000268220901
287,0.009999999776482582
288,0.017999999225139618
289,0.014000000432133675
290,0.08399999886751175
291,0.014999999664723873
292,0.04399999976158142
293,0.012000000104308128
294,0.014000000432133675
295,0.024000000208616257
296,0.009999999776482582
297,0.050999999046325684
298,0.03400000184774399
299,0.06700000166893005
300,0.0
301,0.0
302,0.007000000216066837
303,0.0
304,0.09799999743700027
305,0.023000000044703484
306,0.04500000178813934
307,0.04600000008940697
308,0.024000000208616257
309,0.08399999886751175
310,0.0
311,0.019999999552965164
312,0.09399999678134918
313,0.017999999225139618
314,0.01899999938905239
315,0.012000000104308128
316,0.04899999871850014
317,0.016520069912075996
318,0.014999999664723873
319,0.014999999664723873
320,0.014999999664723873
321,0.010999999940395355
322,0.013000000268220901
323,0.003000000026077032
324,0.010999999940395355
325,0.01899999938905239
326,0.01455069612711668
327,0.003000000026077032
328,0.01448636781424284
329,0.0
330,0.004000000189989805
331,0.041999999433755875
332,0.0
333,0.07199999690055847
334,0.013000000268220901
335,0.03200000151991844
336,0.00800000037997961
337,0.013000000268220901
338,0.017000000923871994
339,0.024000000208616257
340,0.014000000432133675
341,0.014999999664723873
342,0.01899999938905239
343,0.012000000104308128
344,0.017000000923871994
345,0.017000000923871994
346,0.02019343711435795
347,0.01600000075995922
348,0.01899999938905239
349,0.010999999940395355
350,0.009999999776482582
351,0.012000000104308128
352,0.01899999938905239
353,0.010999999940395355
354,0.010999999940395355
355,0.014000000432133675
356,0.020999999716877937
357,0.02199999988079071
358,0.026000000536441803
359,0.014999999664723873
360,0.014999999664723873
361,0.007359796203672886
362,0.019999999552965164
363,0.0010000000474974513
364,0.019999999552965164
365,0.010999999940395355
366,0.014999999664723873
367,0.0
368,0.006908736191689968
369,0.014000000432133675
370,0.023000000044703484
371,0.012159591540694237
372,0.012000000104308128
373,0.017000000923871994
374,0.0020000000949949026
375,0.013000000268220901
376,0.05000000074505806
377,0.013000000268220901
378,0.01600000075995922
379,0.014999999664723873
380,0.0
381,0.019999999552965164
382,0.014000000432133675
383,0.01600000075995922
384,0.012000000104308128
385,0.01600000075995922
386,0.012000000104308128
387,0.013000000268220901
388,0.019999999552965164
389,0.014999999664723873
390,0.014000000432133675
391,0.01600000075995922
392,0.01600000075995922
393,0.014000000432133675
394,0.014000000432133675
395,0.07699999958276749
396,0.01600000075995922
397,0.015898726880550385
398,0.01600000075995922
399,0.017000000923871994
400,0.014999999664723873
401,0.012000000104308128
402,0.029999999329447746
403,0.026000000536441803
404,0.0
405,0.014000000432133675
406,0.013000000268220901
407,0.009999999776482582
408,0.014000000432133675
409,0.017000000923871994
410,0.013000000268220901
411,0.013000000268220901
412,0.010999999940395355
413,0.014999999664723873
414,0.012000000104308128
415,0.01600000075995922
416,0.012000000104308128
417,0.014999999664723873
418,0.017000000923871994
419,0.008999999612569809
420,0.012000000104308128
421,0.05999999865889549
422,0.013000000268220901
423,0.05999999865889549
424,0.012000000104308128
425,0.010899784043431282
426,0.014000000432133675
427,0.010999999940395355
428,0.012788738124072552
429,0.009999999776482582
430,0.012000000104308128
431,0.017000000923871994
432,0.014000000432133675
433,0.012000000104308128
434,0.017000000923871994
435,0.014000000432133675
436,0.016285426914691925
437,0.04100000113248825
438,0.01600000075995922
439,0.014000000432133675
440,0.010999999940395355
441,0.009999999776482582
442,0.05299999937415123
443,0.012107576243579388
444,0.009999999776482582
445,0.014000000432133675
446,0.013000000268220901
447,0.014000000432133675
448,0.01600000075995922
449,0.012000000104308128
450,0.007000000216066837
451,0.012000000104308128
452,0.013000000268220901
453,0.008999999612569809
454,0.004999999888241291
455,0.010999999940395355
456,0.010999999940395355
457,0.010999999940395355
458,0.013000000268220901
459,0.03700000047683716
460,0.014999999664723873
461,0.012000000104308128
462,0.012000000104308128
463,0.013000000268220901
464,0.009999999776482582
465,0.013000000268220901
466,0.014000000432133675
467,0.020999999716877937
468,0.013000000268220901
469,0.013000000268220901
470,0.013000000268220901
471,0.014999999664723873
472,0.020999999716877937
473,0.013000000268220901
474,0.013000000268220901
475,0.024324538186192513
476,0.017999999225139618
477,0.003000000026077032
478,0.014999999664723873
479,0.017000000923871994
480,0.008999999612569809
481,0.01600000075995922
482,0.020999999716877937
483,0.014000000432133675
484,0.013000000268220901
485,0.027000000700354576
486,0.013000000268220901
487,0.009999999776482582
488,0.014941084198653698
489,0.00800000037997961
490,0.013000000268220901
491,0.012000000104308128
492,0.017000000923871994
493,0.024000000208616257
494,0.013000000268220901
495,0.01600000075995922
496,0.009196842089295387
497,0.012000000104308128
498,0.01600000075995922
499,0.010999999940395355
500,0.012000000104308128
501,0.014999999664723873
502,0.03099999949336052
503,0.02199999988079071
504,0.03099999949336052
505,0.07500000298023224
506,0.010999999940395355
507,0.012000000104308128
508,0.013000000268220901
509,0.013000000268220901
510,0.010999999940395355
511,0.008999999612569809
512,0.014000000432133675
513,0.013000000268220901
514,0.014000000432133675
515,0.017080113291740417
516,0.014999999664723873
517,0.00800000037997961
518,0.015808720141649246
519,0.012000000104308128
520,0.020999999716877937
521,0.013286381959915161
522,0.0
523,0.006951310206204653
524,0.008999999612569809
525,0.008999999612569809
526,0.014360814355313778
527,0.017999999225139618
528,0.017999999225139618
529,0.010999999940395355
530,0.03799999877810478
531,0.012000000104308128
532,0.010999999940395355
533,0.012000000104308128
534,0.013000000268220901
535,0.04399999976158142
536,0.013000000268220901
537,0.014999999664723873
